subject,section,room,needs_lab,is_lab,score
CHRISTIAN LIVING 1,ABM 11-D,G205,False,False,1.0
CHRISTIAN LIVING 1,ABM 11-E,G206,False,False,1.0
CHRISTIAN LIVING 1,ABM 11-F,G207,False,False,1.0
CHRISTIAN LIVING 1,ABM 11-G,G208,False,False,1.0
CHRISTIAN LIVING 1,ABM 11-H,G209,False,False,1.0
CHRISTIAN LIVING 1,ABM 11-I,V502,False,False,1.0
CHRISTIAN LIVING 1,ABM 11-J,V503,False,False,1.0
CHRISTIAN LIVING 4,ABM 12-A,Y404,False,False,1.0
CHRISTIAN LIVING 4,ABM 12-B,Y405,False,False,1.0
CHRISTIAN LIVING 4,ABM 12-C,Y501,False,False,1.0
CHRISTIAN LIVING 4,ABM 12-D,Y502,False,False,1.0
CHRISTIAN LIVING 4,ABM 12-E,Y503,False,False,1.0
CHRISTIAN LIVING 4,ABM 12-F,Y504,False,False,1.0
CHRISTIAN LIVING 4,ABM 12-G,Y505,False,False,1.0
CHRISTIAN LIVING 4,ABM 12-H,Y506,False,False,1.0
CHRISTIAN LIVING 4,ABM 12-I,Y604,False,False,1.0
CHRISTIAN LIVING 4,ABM 12-J,Y606,False,False,1.0
CHRISTIAN LIVING 1,ADT 11-A,Y303,False,False,1.0
CHRISTIAN LIVING 1,ADT 11-B,L228,False,False,1.0
CHRISTIAN LIVING 4,ADT 12-A,G101,False,False,1.0
CHRISTIAN LIVING 4,ADT 12-B,G102,False,False,1.0
CHRISTIAN LIVING 4,ADT 12-C,G103,False,False,1.0
CHRISTIAN LIVING 1,HUMSS 11-A,L204,False,False,1.0
CHRISTIAN LIVING 1,HUMSS 11-B,L208,False,False,1.0
CHRISTIAN LIVING 1,HUMSS 11-C,L209,False,False,1.0
CHRISTIAN LIVING 1,HUMSS 11-D,L210,False,False,1.0
CHRISTIAN LIVING 1,HUMSS 11-E,L211,False,False,1.0
CHRISTIAN LIVING 4,HUMSS 12-A,Y304,False,False,1.0
CHRISTIAN LIVING 4,HUMSS 12-B,Y306,False,False,1.0
CHRISTIAN LIVING 4,HUMSS 12-C,Y402,False,False,1.0
CHRISTIAN LIVING 4,HUMSS 12-D,Y403,False,False,1.0
CHRISTIAN LIVING 1,SPT 11-A,Y604,False,False,1.0
CHRISTIAN LIVING 4,SPT 12-A,Y606,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-A,Y404,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-B,Y405,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-C,Y501,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-D,Y502,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-E,Y503,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-F,Y504,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-G,Y505,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-H,Y506,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-I,L204,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-J,L208,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-K,L209,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-L,L210,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-M,L211,False,False,1.0
CHRISTIAN LIVING 1,STEM 11-N,L228,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-A,G101,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-B,G102,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-C,G103,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-D,G201,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-E,G203,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-F,G204,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-G,G205,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-H,G206,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-I,G207,False,False,1.0
CHRISTIAN LIVING 4,STEM 12-J,G208,False,False,1.0
